date,AAPL,MSFT,GOOGL,NVDA,META,AVGO,ADBE,CRM,ORCL,CSCO,JPM,BAC,WFC,GS,MS,C,BLK,SCHW,AXP,USB,UNH,JNJ,LLY,ABBV,MRK,PFE,TMO,ABT,DHR,AMGN,AMZN,TSLA,WMT,HD,MCD,NKE,SBUX,TGT,LOW,TJX,XOM,CVX,COP,BA,CAT,RTX,HON,UPS,GE,DE,SPY,QQQ,IWM,EFA,AGG
2020-08-03,308151200,78983000,45482000,412720000,23124900,20796000,2075200,6557500,9164900,14141100,12962800,58284000,27863700,2294600,9912400,15856600,496400,7285600,2869000,4683700,2628500,4078700,3615000,6919000,10601463,31036400,1049400,3670900,2340262,1853900,101494000,132139500,14971500,2363500,3143500,5472700,7138300,3319200,3136700,5617000,23033600,11220100,8064700,38520500,2851100,8789300,2233829,4317200,18011050,840600,53077900,32081600,20777100,23609700,13013600
2020-08-04,173071600,49280100,37212000,310336000,17183500,25258000,2622600,4480300,6364300,12839500,13366200,37985300,28106900,1944700,6445200,16230800,513100,14859100,2415100,4098900,3594900,4162200,3260000,7865100,7218729,29448549,911300,2730600,1956742,1912100,93886000,126225000,18219600,2224000,3699900,7539300,12792400,3924500,2381400,6781900,17724000,9077900,5808100,30853500,2301800,7844600,3266076,4841700,14253587,672800,41917900,24911300,20285000,16236800,10935200
2020-08-05,121776800,28806400,29134000,249924000,13050100,22299000,2353100,3559100,6629000,13075600,15260900,51322600,32935400,2232400,6636100,16412400,465800,8142100,2844900,4585300,2982200,5467500,2386400,6918900,6492465,24292697,906100,4415300,2347819,1736400,78330000,74217000,25483500,1959900,2259600,7217500,7780800,3688800,3039700,7296200,17175100,7324200,7315000,46189200,2767800,10115900,4347129,3939300,21286984,1366100,42697700,21612100,18190200,17901300,17345700
2020-08-06,202428800,32656800,33306000,244316000,45241600,14193000,2362000,5113300,8169600,14190900,10482100,51999700,44670300,1882400,5701100,11025000,455000,8077700,2698800,3227200,3305300,4837900,2176200,7269300,7256562,20922111,1229900,3943000,3078425,1747000,78812000,89884500,14496300,2203400,3158900,4060900,6764800,1979900,2449900,6582300,14434900,7035600,6588700,32921600,2446400,5786700,2655365,2420900,14027650,968100,43679400,28048200,18237700,17210500,4608600
2020-08-07,198045600,27820400,27718000,342516000,72766400,14192000,3289700,5423400,8772300,17054300,14743700,63354500,46272400,3075000,6225900,21499100,469900,7823100,4690700,7818900,2600800,3635100,2017100,5226600,6977584,23097251,1006700,3141900,1518062,1352300,78722000,133446000,16558500,2846300,2980000,5545600,6569300,2303100,2904700,7407300,18757900,7185000,4445300,19318000,2223700,6263100,2673932,10074200,16665861,1254600,57308300,44969400,20475200,14988900,5559100
2020-08-10,212403600,36716500,20546000,427796000,30248800,11989000,1836800,5528200,10046900,14999200,14989900,64051100,50602600,2432800,6518300,16850400,465800,6043100,5254800,7739300,2563600,4096600,1745200,7623600,5782445,19964552,1206100,2776300,2437834,1533200,63346000,112834500,17683200,2393100,2783600,12678000,6604300,3002900,3065300,5072300,24367800,8150200,5612600,35857700,5181600,10042600,3033187,7396400,18929062,2631100,44282100,35088400,24000500,10049000,5152700
2020-08-11,187902400,36446500,31098000,354512000,28238300,19316000,1900200,5015400,8075100,18859600,31518600,81441000,55000100,4042700,11792600,25256500,576800,12160300,4744000,7527000,3018200,6388400,2103400,7208400,7636671,21326847,1337700,4823000,2731226,2296200,74362000,129387000,25360200,3321300,2478400,5400700,10238500,3915900,3723000,7566400,28987500,9074300,7975900,61036600,4206000,12120800,4003896,6071900,18687596,1909900,69601100,43104300,30359400,31465500,7809900
2020-08-12,165598000,28013100,22512000,464412000,21415700,18471000,2223700,3980300,9068200,26823700,19240800,61971300,42868500,2439400,8949400,19337900,612200,8998700,3407800,4864100,2915800,5257300,2430400,7705600,7295652,19957595,1060500,2668900,1651618,2325500,70442000,327441000,19094400,3867900,2167100,4714800,5378000,4860900,3791200,5132600,22503200,9057400,11822500,40674400,2541200,7327000,2832233,4247200,14073295,1629000,53774400,38773400,23378300,28638500,5524500
2020-08-13,210082000,22588900,22388000,374460000,17374000,15095000,2028000,4711600,8260300,91849500,13598600,55955500,27387800,2219900,5728700,13815300,359700,5937600,3265400,4084600,2159500,5155500,2077700,6004200,7455262,15340021,1080500,2951700,1366234,1362800,62980000,306379500,19867200,2202400,1795000,4281700,4383400,2324800,2272300,4584300,17338700,7314600,8286400,22958800,2939900,9452000,2731969,2848200,10719714,1324700,41816100,31895700,15799900,17783100,8023700
2020-08-14,165565200,17958900,21942000,366436000,14792700,10140000,1111000,2833000,5454400,32539500,12134400,50931900,26743400,2287600,5782300,13861300,316700,8740700,1956500,3971800,1787200,4240200,1538000,5488100,7390496,12901276,898100,2739900,1444630,1225000,55034000,188664000,20106300,2490400,2060200,2985700,3771300,3180900,3404900,4926600,13595700,6343000,3349800,32414100,2038500,5124400,3018227,3479000,10111524,900600,47260400,30799500,13360900,10874100,4556500
2020-08-17,119561600,20184800,19990000,621300000,13351100,10594000,1555700,3574500,9523700,30511700,14988000,57518700,36661700,3922600,7333000,19788700,411100,8340900,7488500,5522600,2772500,4306900,2704700,7251400,8764319,17494187,1225800,4657400,1392403,1697500,53824000,303634500,39465000,5584400,2619000,3017000,5360400,4632300,5159600,8039400,15554600,10473800,6089300,23352100,2284000,6408400,2989049,2408900,11843460,1025900,35481000,24803000,9744200,11429900,4523900
