date,price,ma_50,ma_200,regime,ma_cross
2020-12-21,344.4032287597656,330.7346350097656,,Bear,Death
2020-12-22,343.8228454589844,331.03995910644534,,Bear,Death
2020-12-23,344.1318054199219,331.39434509277345,,Bear,Death
2020-12-24,345.4706115722656,331.8165264892578,,Bear,Death
2020-12-28,348.4384460449219,332.3060821533203,,Bear,Death
2020-12-29,347.7738037109375,332.7862609863281,,Bear,Death
2020-12-30,348.2699584960937,333.37480895996094,,Bear,Death
2020-12-31,350.0394287109375,333.9732049560547,,Bear,Death
2021-01-04,345.2740173339844,334.4884112548828,,Bear,Death
2021-01-05,347.6519470214844,335.01612182617185,,Bear,Death
2021-01-06,349.7304992675781,335.56359008789065,,Bear,Death
2021-01-07,354.9266052246094,336.33412170410156,,Bear,Death
2021-01-08,356.9488220214844,337.1669140625,,Bear,Death
2021-01-11,354.5426940917969,338.1671221923828,,Bear,Death
2021-01-12,354.6175231933594,339.10692504882815,,Bear,Death
2021-01-13,355.57257080078125,340.1299682617188,,Bear,Death
2021-01-14,354.3273620605469,341.0598651123047,,Bear,Death
2021-01-15,351.743408203125,341.8293817138672,,Bear,Death
2021-01-19,354.5052490234375,342.5141094970703,,Bear,Death
2021-01-20,359.4111022949219,343.1720318603516,,Bear,Death
2021-01-21,359.73883056640625,343.8379998779297,,Bear,Death
2021-01-22,358.4655456542969,344.39646423339843,,Bear,Death
2021-01-25,359.8792724609375,344.99289855957034,,Bear,Death
2021-01-26,359.3174743652344,345.52905822753905,,Bear,Death
2021-01-27,350.53564453125,345.9540948486328,,Bear,Death
2021-01-28,353.5502624511719,346.3482489013672,,Bear,Death
2021-01-29,346.47235107421875,346.5175,,Bear,Death
2021-02-01,352.2396545410156,346.8384564208984,,Bear,Death
2021-02-02,357.2203063964844,347.33994567871093,,Bear,Death
2021-02-03,357.5012512207031,347.81908752441404,,Bear,Death
2021-02-04,361.5644836425781,348.4251727294922,,Bear,Death
2021-02-05,362.987548828125,349.02000427246094,,Bear,Death
2021-02-08,365.6090393066406,349.55987060546875,,Bear,Death
2021-02-09,365.3655700683594,350.10530822753907,,Bear,Death
2021-02-10,365.2064208984375,350.62873107910156,,Bear,Death
2021-02-11,365.7962341308594,351.19396911621095,,Bear,Death
2021-02-12,367.6032104492188,351.72151245117186,,Bear,Death
2021-02-16,367.284912109375,352.2283319091797,,Bear,Death
2021-02-17,367.3691101074219,352.7386999511719,,Bear,Death
2021-02-18,365.80560302734375,353.1588787841797,,Bear,Death
2021-02-19,365.1595764160156,353.58030883789064,,Bear,Death
2021-02-22,362.3508911132813,353.9254260253906,,Bear,Death
2021-02-23,362.7908935546875,354.3412469482422,,Bear,Death
2021-02-24,366.7886657714844,354.8392614746094,,Bear,Death
2021-02-25,357.9505920410156,355.16853088378906,,Bear,Death
2021-02-26,356.106201171875,355.4914916992187,,Bear,Death
2021-03-01,364.73834228515625,355.8951733398437,,Bear,Death
2021-03-02,361.8921203613281,356.2311151123047,,Bear,Death
2021-03-03,357.09869384765625,356.43259399414063,,Bear,Death
2021-03-04,352.6795959472656,356.57340454101563,,Bear,Death
2021-03-05,359.1676940917969,356.86869384765623,,Bear,Death
2021-03-08,357.3795166015625,357.1398272705078,,Bear,Death
2021-03-09,362.4819641113281,357.50683044433595,,Bear,Death
2021-03-10,364.73834228515625,357.8921850585937,,Bear,Death
2021-03-11,368.4364013671875,358.2921441650391,,Bear,Death
2021-03-12,368.9326171875,358.7153204345703,325.016416015625,Bull,Golden
2021-03-15,371.1327819824219,359.1725769042969,325.47163803100585,Bull,Golden
2021-03-16,370.6646728515625,359.5850817871094,325.91827911376953,Bull,Golden
2021-03-17,371.9285888671875,360.11817321777346,326.3655548095703,Bull,Golden
2021-03-18,366.5171813964844,360.49547790527345,326.7740788269043,Bull,Golden
2021-03-19,365.8389892578125,360.8176477050781,327.16026000976564,Bull,Golden
2021-03-22,368.76019287109375,361.0943194580078,327.5648373413086,Bull,Golden
2021-03-23,365.8577880859375,361.2724987792969,327.9180163574219,Bull,Golden
2021-03-24,363.9979553222656,361.46160400390625,328.24405349731444,Bull,Golden
2021-03-25,366.0456848144531,361.69016723632814,328.59146926879885,Bull,Golden
2021-03-26,371.94439697265625,362.0176037597656,328.97665267944336,Bull,Golden
2021-03-29,371.7565612792969,362.36618774414063,329.44590225219724,Bull,Golden
2021-03-30,370.7703247070313,362.74672607421877,329.89358047485354,Bull,Golden
2021-03-31,372.273193359375,363.1020849609375,330.33564544677733,Bull,Golden
2021-04-01,376.2934265136719,363.4397314453125,330.7704933166504,Bull,Golden
2021-04-05,381.6943359375,363.8788415527344,331.2383547973633,Bull,Golden
2021-04-06,381.468994140625,364.33891052246094,331.7045346069336,Bull,Golden
2021-04-07,381.910400390625,364.7795330810547,332.18115798950197,Bull,Golden
2021-04-08,383.7232360839844,365.2676483154297,332.6576528930664,Bull,Golden
2021-04-09,386.5129699707031,365.98719482421876,333.14145721435546,Bull,Golden
2021-04-12,386.6539306640625,366.6492681884766,333.66292221069335,Bull,Golden
2021-04-13,387.7998046875,367.4758172607422,334.17498168945315,Bull,Golden
2021-04-14,386.4754028320313,368.1605322265625,334.71431076049805,Bull,Golden
2021-04-15,390.6271057128906,368.82866821289065,335.25392410278323,Bull,Golden
2021-04-16,391.9327392578125,369.5172979736328,335.7819590759277,Bull,Golden
2021-04-19,390.0071411132813,370.0861511230469,336.29033752441404,Bull,Golden
2021-04-20,387.1517028808594,370.5694342041016,336.77649963378906,Bull,Golden
2021-04-21,390.8150024414063,371.07355346679685,337.2586004638672,Bull,Golden
2021-04-22,387.24560546875,371.5111541748047,337.7380361938477,Bull,Golden
2021-04-23,391.4443359375,372.0359124755859,338.2273231506348,Bull,Golden
2021-04-26,392.261474609375,372.5652172851562,338.72905258178713,Bull,Golden
2021-04-27,392.1769714355469,373.0566925048828,339.21545639038084,Bull,Golden
2021-04-28,392.064208984375,373.5522784423828,339.714063873291,Bull,Golden
2021-04-29,394.5627746582031,374.0961517333984,340.2062217712402,Bull,Golden
2021-04-30,391.9702758789063,374.6194451904297,340.67181396484375,Bull,Golden
2021-05-03,392.8157348632813,375.172568359375,341.14655471801757,Bull,Golden
